2026-06-20 08:53:28,371 | INFO | IoT Honeypot server started
2026-06-20 08:53:38,193 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 08:53:38,196 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 08:53:38,198 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 08:53:38,200 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 08:53:38,202 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 08:53:38,205 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 08:53:38,208 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 08:53:38,211 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 08:53:38,214 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 08:53:38,217 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 08:53:38,221 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 08:53:38,223 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:23:01,715 | INFO | IoT Honeypot server started
2026-06-20 19:23:59,507 | WARNING | Connection attempt from 127.0.0.1
2026-06-20 19:23:59,518 | INFO | Attack saved from 127.0.0.1
2026-06-20 19:24:00,023 | WARNING | Connection attempt from 127.0.0.1
2026-06-20 19:24:00,035 | INFO | Attack saved from 127.0.0.1
2026-06-20 19:24:00,538 | WARNING | Connection attempt from 127.0.0.1
2026-06-20 19:24:00,548 | INFO | Attack saved from 127.0.0.1
2026-06-20 19:24:01,052 | WARNING | Connection attempt from 127.0.0.1
2026-06-20 19:24:01,062 | INFO | Attack saved from 127.0.0.1
2026-06-20 19:24:01,566 | WARNING | Connection attempt from 127.0.0.1
2026-06-20 19:24:01,575 | CRITICAL | Brute force detected from 127.0.0.1
2026-06-20 19:24:01,590 | INFO | Attack saved from 127.0.0.1
2026-06-20 19:24:02,094 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:24:02,098 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:24:02,101 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:24:02,106 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:24:02,109 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:24:02,113 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:24:02,115 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:27:03,671 | INFO | IoT Honeypot server started
2026-06-20 19:27:10,040 | WARNING | Connection attempt from 127.0.0.1
2026-06-20 19:27:10,050 | INFO | Attack saved from 127.0.0.1
2026-06-20 19:27:10,554 | WARNING | Connection attempt from 127.0.0.1
2026-06-20 19:27:10,567 | INFO | Attack saved from 127.0.0.1
2026-06-20 19:27:11,072 | WARNING | Connection attempt from 127.0.0.1
2026-06-20 19:27:11,077 | INFO | Attack saved from 127.0.0.1
2026-06-20 19:27:11,584 | WARNING | Connection attempt from 127.0.0.1
2026-06-20 19:27:11,598 | INFO | Attack saved from 127.0.0.1
2026-06-20 19:27:12,103 | WARNING | Connection attempt from 127.0.0.1
2026-06-20 19:27:12,116 | CRITICAL | Brute force detected from 127.0.0.1
2026-06-20 19:27:12,135 | INFO | Attack saved from 127.0.0.1
2026-06-20 19:27:12,639 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:27:12,642 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:27:12,646 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:27:12,648 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:27:12,650 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:27:12,653 | WARNING | Blocked connection from 127.0.0.1
2026-06-20 19:27:12,655 | WARNING | Blocked connection from 127.0.0.1
